SubNo,BlkNo,Trty,Resp,Cor,RT,PFresp,PFno,Congru,Effector,BadSub,Practice,RTinBounds
2,2,2,Z,1,271.451,567.951,1.779,2,1,0,0,1
2,2,1,Z,1,254.265,472.541,0.091,1,1,0,0,1
2,2,1,Z,1,247.37,541.902,0.944,1,1,0,0,1
2,2,2,Z,1,470.096,480.785,0.672,2,1,0,0,1
2,2,3,/,1,279.635,407.694,1.8,1,2,0,0,1
2,2,4,/,1,328.766,497.843,1.297,2,2,0,0,1
2,2,4,/,1,322.19,470.335,3.232,2,2,0,0,1
2,2,4,/,1,347.375,394.73,2.38,2,2,0,0,1
2,2,1,Z,1,308.944,465.864,-0.908,1,1,0,0,1
2,2,1,Z,1,263.983,532.438,0.599,1,1,0,0,1
2,2,3,/,1,246.438,361.794,2.69,1,2,0,0,1
2,2,3,/,1,394.177,392.479,2.497,1,2,0,0,1
2,2,4,/,1,424.894,404.208,1.181,2,2,0,0,1
2,2,4,/,1,288.24,343.836,2.477,2,2,0,0,1
2,2,3,/,1,250.294,380.786,7.896,1,2,0,0,1
2,2,2,Z,1,343.135,577.414,-6.191,2,1,0,0,1
2,2,3,/,1,293.099,444.244,1.587,1,2,0,0,1
2,2,2,Z,1,441.285,485.217,33.009,2,1,0,0,1
2,2,2,Z,1,337.433,477.36,1.834,2,1,0,0,1
2,2,3,/,1,291.534,394.385,2.671,1,2,0,0,1
2,2,2,Z,1,315.417,455.955,-0.036,2,1,0,0,1
2,2,1,Z,1,289.936,479.992,-1.725,1,1,0,0,1
2,2,2,Z,1,270.586,664.87,0.145,2,1,0,0,1
2,2,3,/,1,270.683,395.91,1.742,1,2,0,0,1
2,2,1,Z,1,291.284,411.269,0.563,1,1,0,0,1
2,2,4,/,1,483.439,463.182,1.568,2,2,0,0,1
2,2,3,/,1,345.432,411.562,3.251,1,2,0,0,1
2,2,1,Z,1,289.569,353.462,1.38,1,1,0,0,1
2,2,1,Z,1,341.973,427.371,0.163,1,1,0,0,1
2,2,4,/,1,420.15,500.53,5.67,2,2,0,0,1
2,2,2,Z,1,305.215,639.053,1.616,2,1,0,0,1
2,2,1,Z,1,284.116,456.265,3.323,1,1,0,0,1
2,2,4,/,1,326.62,312.026,1.471,2,2,0,0,1
2,2,3,/,1,271.342,376.828,0.852,1,2,0,0,1
2,2,2,Z,1,400.927,381.04,-0.708,2,1,0,0,1
2,2,4,/,1,325.903,363.083,1.335,2,2,0,0,1
2,2,3,/,1,386.11,371.58,-0.774,1,2,0,0,1
2,3,2,Z,1,337.464,531.606,-0.999,2,1,0,0,1
2,3,4,/,1,281.598,386.886,1.819,2,2,0,0,1
2,3,2,Z,1,287.672,386.536,2.633,2,1,0,0,1
2,3,2,Z,1,339.554,533.193,-1.87,2,1,0,0,1
2,3,1,Z,1,283,489.862,2.705,1,1,0,0,1
2,3,3,/,1,275.106,508.81,3.542,1,2,0,0,1
2,3,3,/,1,262.923,457.081,2.438,1,2,0,0,1
2,3,3,/,1,260.795,528.964,1.684,1,2,0,0,1
2,3,2,Z,1,309.846,535.341,-2.433,2,1,0,0,1
2,3,1,Z,1,342.062,446.995,-0.254,1,1,0,0,1
2,3,4,/,1,413.01,415.465,1.084,2,2,0,0,1
2,3,2,Z,1,318.832,422.92,-0.472,2,1,0,0,1
2,3,1,Z,1,331.092,348.179,0.908,1,1,0,0,1
2,3,3,/,1,260.504,421.294,1.471,1,2,0,0,1
2,3,1,Z,1,260.201,421.314,1.598,1,1,0,0,1
2,3,4,/,1,395.948,349.393,7.838,2,2,0,0,1
2,3,1,Z,1,263.246,310.189,2.669,1,1,0,0,1
2,3,1,Z,1,439.799,607.818,1.38,1,1,0,0,1
2,3,1,Z,1,331.889,437.28,1.217,1,1,0,0,1
2,3,3,/,1,517.654,502.981,3.29,1,2,0,0,1
2,3,3,/,1,286.64,423.618,1.045,1,2,0,0,1
2,3,3,/,1,252.786,370.109,1.49,1,2,0,0,1
2,3,2,Z,1,325.321,490.616,0.254,2,1,0,0,1
2,3,2,Z,1,424.88,464.935,-5.138,2,1,0,0,1
2,3,4,/,1,339.153,502.854,1.916,2,2,0,0,1
2,3,2,Z,1,273.18,305.331,0.69,2,1,0,0,1
2,3,2,Z,1,380.01,518.427,40.98,2,1,0,0,1
2,3,4,/,1,419.114,322.121,1.219,2,2,0,0,1
2,3,4,/,1,495.659,394.276,16.74,2,2,0,0,1
2,3,3,/,1,336.131,307.65,1.51,1,2,0,0,1
2,3,1,Z,1,290.6,340.186,2.506,1,1,0,0,1
2,3,4,/,1,338.883,421.675,1.761,2,2,0,0,1
2,3,4,/,1,315.416,487.149,1.49,2,2,0,0,1
2,3,1,Z,1,296.223,478.289,1.053,1,1,0,0,1
2,3,3,/,1,366.084,434.221,1.645,1,2,0,0,1
2,3,3,/,1,310.22,888.252,0.135,1,2,0,0,1
2,3,1,Z,1,306.213,375.873,1.906,1,1,0,0,1
2,4,2,Z,1,408.878,383.343,0.436,2,1,0,0,1
2,4,4,/,1,441.28,411.471,-0.581,2,2,0,0,1
2,4,3,/,1,357.574,447.204,10.315,1,2,0,0,1
2,4,2,Z,1,446.589,365.674,0.799,2,1,0,0,1
2,4,1,Z,1,391.627,341.154,-1.089,1,1,0,0,1
2,4,2,Z,1,457.317,392.923,-3.922,2,1,0,0,1
2,4,4,/,1,403.818,358.525,1.858,2,2,0,0,1
2,4,1,Z,1,582.755,502.789,-23.277,1,1,0,0,1
2,4,3,/,1,270.555,402.828,1.877,1,2,0,0,1
2,4,1,Z,1,446.952,487.075,3.05,1,1,0,0,1
2,4,2,Z,1,432.336,384.156,-7.208,2,1,0,0,1
2,4,3,/,1,276.682,410.418,1.413,1,2,0,0,1
2,4,2,Z,1,371.285,381.582,-2.687,2,1,0,0,1
2,4,3,/,1,348.583,545.16,1.297,1,2,0,0,1
2,4,3,/,1,261.591,450.635,1.606,1,2,0,0,1
2,4,3,/,1,311.13,516.581,-0.019,1,2,0,0,1
2,4,4,/,1,400.56,422.583,-0.058,2,2,0,0,1
2,4,1,Z,1,308.022,442.331,0.236,1,1,0,0,1
2,4,4,/,1,293.613,404.008,0.097,2,2,0,0,1
2,4,1,Z,1,302.57,412.605,1.67,1,1,0,0,1
2,4,2,Z,1,408.744,348.817,-1.017,2,1,0,0,1
2,4,2,Z,1,439.844,344.637,-2.469,2,1,0,0,1
2,4,4,/,1,308.068,421.838,1.897,2,2,0,0,1
2,4,1,Z,1,552.572,350.695,-1.144,1,1,0,0,1
2,4,3,/,1,323.74,513.512,1.026,1,2,0,0,1
2,4,1,Z,1,540.874,323.252,3.559,1,1,0,0,1
2,4,4,/,1,360.943,423.491,2.264,2,2,0,0,1
2,4,3,/,1,347.553,506.631,3.193,1,2,0,0,1
2,4,4,/,1,396.034,385.053,1.393,2,2,0,0,1
2,4,2,Z,1,316.001,301.345,1.325,2,1,0,0,1
2,4,2,Z,1,362.801,404.186,1.253,2,1,0,0,1
2,4,1,Z,1,309.558,471.805,0.999,1,1,0,0,1
2,4,4,/,1,354.091,427.213,2.322,2,2,0,0,1
2,4,3,/,1,351.78,466.069,1.49,1,2,0,0,1
2,4,1,Z,1,293.961,346.96,1.18,1,1,0,0,1
2,4,3,/,1,275.32,436.073,1.432,1,2,0,0,1
2,4,2,Z,1,337.422,392.265,1.834,2,1,0,0,1
2,4,1,Z,1,364.261,359.752,0.817,1,1,0,0,1
2,5,3,/,1,332.675,432.533,-0.387,1,2,0,0,1
2,5,3,/,1,281.319,381.585,1.335,1,2,0,0,1
2,5,1,Z,1,289.896,461.858,1.144,1,1,0,0,1
2,5,1,Z,1,305.879,353.791,1.561,1,1,0,0,1
2,5,3,/,1,273.727,398.362,2.032,1,2,0,0,1
2,5,2,Z,1,302.872,433.932,2.088,2,1,0,0,1
2,5,1,Z,1,290.945,405.309,2.07,1,1,0,0,1
2,5,1,Z,1,292.411,408.27,0.236,1,1,0,0,1
2,5,1,Z,1,287.124,616.333,2.397,1,1,0,0,1
2,5,3,/,1,302.345,646.239,3.832,1,2,0,0,1
2,5,1,Z,1,405.118,446.84,1.162,1,1,0,0,1
2,5,2,Z,1,405.375,446.163,-5.011,2,1,0,0,1
2,5,4,/,1,365.63,334.685,2.613,2,2,0,0,1
2,5,2,Z,1,380.699,352.998,0.672,2,1,0,0,1
2,5,2,Z,1,392.317,389.13,-2.596,2,1,0,0,1
2,5,4,/,1,303.893,413.632,1.316,2,2,0,0,1
2,5,4,/,1,334.031,394.294,1.413,2,2,0,0,1
2,5,2,Z,1,319.2,533.096,-0.472,2,1,0,0,1
2,5,1,Z,1,542.487,623.32,-12.782,1,1,0,0,1
2,5,2,Z,1,396.142,480.882,-5.665,2,1,0,0,1
2,5,2,Z,1,379.844,502.751,1.434,2,1,0,0,1
2,5,3,/,1,392.027,409.147,1.568,1,2,0,0,1
2,5,3,/,1,339.878,530.398,1.819,1,2,0,0,1
2,5,1,Z,1,344.634,441.073,0.799,1,1,0,0,1
2,5,3,/,1,241.042,415.774,2.032,1,2,0,0,1
2,5,3,/,1,402.9,357.472,2.303,1,2,0,0,1
2,5,3,/,1,258.363,493.431,1.548,1,2,0,0,1
2,5,2,Z,1,337.523,392.013,3.704,2,1,0,0,1
2,5,2,Z,1,340.167,387.175,-0.145,2,1,0,0,1
2,5,4,/,1,344.083,406.024,0.89,2,2,0,0,1
2,5,2,Z,1,429.779,374.267,-7.59,2,1,0,0,1
2,5,4,/,1,317.094,484.189,0.735,2,2,0,0,1
2,5,4,/,1,370.163,354.821,1.78,2,2,0,0,1
2,5,4,/,1,332.214,322.175,2.477,2,2,0,0,1
2,5,4,/,1,292.793,392.097,2.961,2,2,0,0,1
2,5,1,Z,1,298.36,369.699,-2.542,1,1,0,0,1
2,5,3,/,1,330.539,487.439,2.303,1,2,0,0,1
2,5,1,Z,1,301.349,291.088,2.143,1,1,0,0,1
2,5,4,/,1,364.192,308.431,1.471,2,2,0,0,1
2,6,1,Z,1,455.079,287.217,2.179,1,1,0,0,1
2,6,2,Z,1,352.329,299.642,-1.434,2,1,0,0,1
2,6,2,Z,1,316.38,541.34,-6.155,2,1,0,0,1
2,6,4,/,1,335.031,487.82,4.935,2,2,0,0,1
2,6,1,Z,1,483.125,410.844,1.235,1,1,0,0,1
2,6,1,Z,1,292.461,473.431,0.49,1,1,0,0,1
2,6,2,Z,1,310.387,583.123,51.91,2,1,0,0,1
2,6,1,Z,1,333.011,464.374,-2.251,1,1,0,0,1
2,6,3,/,1,319.423,316.184,2.168,1,2,0,0,1
2,6,2,Z,1,368.676,412.489,0.654,2,1,0,0,1
2,6,3,/,1,319.622,402.302,0.968,1,2,0,0,1
2,6,3,/,1,254.531,605.949,2.535,1,2,0,0,1
2,6,3,/,1,340.258,412.361,1.277,1,2,0,0,1
2,6,2,Z,1,385.259,414.308,-0.508,2,1,0,0,1
2,6,4,/,1,331.119,424.054,0.716,2,2,0,0,1
2,6,3,/,1,335.039,355.838,1.413,1,2,0,0,1
2,6,4,/,1,357.084,381.966,1.142,2,2,0,0,1
2,6,4,/,1,352.544,405.334,1.393,2,2,0,0,1
2,6,1,Z,1,541.373,396.542,3.232,1,1,0,0,1
2,6,1,Z,1,345.296,343.341,0.908,1,1,0,0,1
2,6,3,/,1,304.103,360.486,1.684,1,2,0,0,1
2,6,4,/,1,349.671,320.832,1.219,2,2,0,0,1
2,6,1,Z,1,329.213,377.073,1.108,1,1,0,0,1
2,6,1,Z,1,326.663,244.776,1.453,1,1,0,0,1
2,6,4,/,1,352.086,313.569,3.135,2,2,0,0,1
2,6,3,/,1,307.92,327.277,0.832,1,2,0,0,1
2,6,3,/,1,286.077,496.754,-0.368,1,2,0,0,1
2,6,2,Z,1,345.334,456.962,1.598,2,1,0,0,1
2,6,3,/,1,299.649,382.856,1.451,1,2,0,0,1
2,6,1,Z,1,335.982,485.062,1.906,1,1,0,0,1
2,6,4,/,1,337.348,346.233,1.451,2,2,0,0,1
2,6,3,/,1,347.295,370.218,2.226,1,2,0,0,1
2,6,2,Z,1,362.507,358.552,1.834,2,1,0,0,1
2,6,4,/,1,307.707,351.172,1.664,2,2,0,0,1
2,6,1,Z,1,422.631,422.959,-0.036,1,1,0,0,1
2,6,2,Z,1,346.025,341.192,1.071,2,1,0,0,1
2,6,2,Z,1,347.073,423.229,1.943,2,1,0,0,1
2,6,2,Z,1,335.671,480.05,1.071,2,1,0,0,1
2,6,4,/,1,325.028,587.556,8.438,2,2,0,0,1
2,7,1,Z,1,315.346,397.355,2.451,1,1,0,0,1
2,7,2,Z,1,347.267,348.934,1.198,2,1,0,0,1
2,7,2,Z,1,302.571,367.338,0.327,2,1,0,0,1
2,7,1,Z,1,302.507,475.502,-1.58,1,1,0,0,1
2,7,1,Z,1,322.003,460.232,1.689,1,1,0,0,1
2,7,1,Z,1,365.578,518.833,2.56,1,1,0,0,1
2,7,1,Z,1,311.19,428.532,0.672,1,1,0,0,1
2,7,1,Z,1,246.066,349.321,2.451,1,1,0,0,1
2,7,2,Z,1,404.071,527.793,-0.454,2,1,0,0,1
2,7,3,/,1,325.479,439.995,4.761,1,2,0,0,1
2,7,4,/,1,361.257,353.46,16.876,2,2,0,0,1
2,7,3,/,1,267.457,367.604,2.555,1,2,0,0,1
2,7,4,/,1,325.172,402.774,1.819,2,2,0,0,1
2,7,3,/,1,265.772,311.88,-0.89,1,2,0,0,1
2,7,2,Z,1,362.207,344.637,-4.902,2,1,0,0,1
2,7,3,/,1,333.114,467.249,2.187,1,2,0,0,1
2,7,3,/,1,302.157,339.606,1.664,1,2,0,0,1
2,7,2,Z,1,343.64,544.398,7.935,2,1,0,0,1
