SubNo,BlkNo,Trty,Resp,Cor,RT,Congru
2,2,2,Z,1,271.451,2
2,2,1,Z,1,254.265,1
2,2,1,Z,1,247.37,1
2,2,2,Z,1,470.096,2
2,2,3,/,1,279.635,1
2,2,4,/,1,328.766,2
2,2,4,/,1,322.19,2
2,2,4,/,1,347.375,2
2,2,1,Z,1,308.944,1
2,2,1,Z,1,263.983,1
2,2,3,/,1,246.438,1
2,2,3,/,1,394.177,1
2,2,4,/,1,424.894,2
2,2,4,/,1,288.24,2
2,2,3,/,1,250.294,1
2,2,2,Z,1,343.135,2
2,2,3,/,1,293.099,1
2,2,2,Z,1,441.285,2
2,2,2,Z,1,337.433,2
2,2,3,/,1,291.534,1
2,2,2,Z,1,315.417,2
2,2,1,Z,1,289.936,1
2,2,2,Z,1,270.586,2
2,2,3,/,1,270.683,1
2,2,1,Z,1,291.284,1
2,2,4,/,1,483.439,2
2,2,3,/,1,345.432,1
2,2,1,Z,1,289.569,1
2,2,1,Z,1,341.973,1
2,2,4,/,1,420.15,2
2,2,2,Z,1,305.215,2
2,2,1,Z,1,284.116,1
2,2,4,/,1,326.62,2
2,2,3,/,1,271.342,1
2,2,2,Z,1,400.927,2
2,2,4,/,1,325.903,2
2,2,3,/,1,386.11,1
2,3,2,Z,1,337.464,2
2,3,4,/,1,281.598,2
2,3,2,Z,1,287.672,2
2,3,2,Z,1,339.554,2
2,3,1,Z,1,283,1
2,3,3,/,1,275.106,1
2,3,3,/,1,262.923,1
2,3,3,/,1,260.795,1
2,3,2,Z,1,309.846,2
2,3,1,Z,1,342.062,1
2,3,4,/,1,413.01,2
2,3,2,Z,1,318.832,2
2,3,1,Z,1,331.092,1
2,3,3,/,1,260.504,1
2,3,1,Z,1,260.201,1
2,3,4,/,1,395.948,2
2,3,1,Z,1,263.246,1
2,3,1,Z,1,439.799,1
2,3,1,Z,1,331.889,1
2,3,3,/,1,517.654,1
2,3,3,/,1,286.64,1
2,3,3,/,1,252.786,1
2,3,2,Z,1,325.321,2
2,3,2,Z,1,424.88,2
2,3,4,/,1,339.153,2
2,3,2,Z,1,273.18,2
2,3,2,Z,1,380.01,2
2,3,4,/,1,419.114,2
2,3,4,/,1,495.659,2
2,3,3,/,1,336.131,1
2,3,1,Z,1,290.6,1
2,3,4,/,1,338.883,2
2,3,4,/,1,315.416,2
2,3,1,Z,1,296.223,1
2,3,3,/,1,366.084,1
2,3,3,/,1,310.22,1
2,3,1,Z,1,306.213,1
2,4,2,Z,1,408.878,2
2,4,4,/,1,441.28,2
2,4,3,/,1,357.574,1
2,4,2,Z,1,446.589,2
2,4,1,Z,1,391.627,1
2,4,2,Z,1,457.317,2
2,4,4,/,1,403.818,2
2,4,1,Z,1,582.755,1
2,4,3,/,1,270.555,1
2,4,1,Z,1,446.952,1
2,4,2,Z,1,432.336,2
2,4,3,/,1,276.682,1
2,4,2,Z,1,371.285,2
2,4,3,/,1,348.583,1
2,4,3,/,1,261.591,1
2,4,3,/,1,311.13,1
2,4,4,/,1,400.56,2
2,4,1,Z,1,308.022,1
2,4,4,/,1,293.613,2
2,4,1,Z,1,302.57,1
2,4,2,Z,1,408.744,2
2,4,2,Z,1,439.844,2
2,4,4,/,1,308.068,2
2,4,1,Z,1,552.572,1
2,4,3,/,1,323.74,1
2,4,1,Z,1,540.874,1
2,4,4,/,1,360.943,2
2,4,3,/,1,347.553,1
2,4,4,/,1,396.034,2
2,4,2,Z,1,316.001,2
2,4,2,Z,1,362.801,2
2,4,1,Z,1,309.558,1
2,4,4,/,1,354.091,2
2,4,3,/,1,351.78,1
2,4,1,Z,1,293.961,1
2,4,3,/,1,275.32,1
2,4,2,Z,1,337.422,2
2,4,1,Z,1,364.261,1
2,5,3,/,1,332.675,1
2,5,3,/,1,281.319,1
2,5,1,Z,1,289.896,1
2,5,1,Z,1,305.879,1
2,5,3,/,1,273.727,1
2,5,2,Z,1,302.872,2
2,5,1,Z,1,290.945,1
2,5,1,Z,1,292.411,1
2,5,1,Z,1,287.124,1
2,5,3,/,1,302.345,1
2,5,1,Z,1,405.118,1
2,5,2,Z,1,405.375,2
2,5,4,/,1,365.63,2
2,5,2,Z,1,380.699,2
2,5,2,Z,1,392.317,2
2,5,4,/,1,303.893,2
2,5,4,/,1,334.031,2
2,5,2,Z,1,319.2,2
2,5,1,Z,1,542.487,1
2,5,2,Z,1,396.142,2
2,5,2,Z,1,379.844,2
2,5,3,/,1,392.027,1
2,5,3,/,1,339.878,1
2,5,1,Z,1,344.634,1
2,5,3,/,1,241.042,1
2,5,3,/,1,402.9,1
2,5,3,/,1,258.363,1
2,5,2,Z,1,337.523,2
2,5,2,Z,1,340.167,2
2,5,4,/,1,344.083,2
2,5,2,Z,1,429.779,2
2,5,4,/,1,317.094,2
2,5,4,/,1,370.163,2
2,5,4,/,1,332.214,2
2,5,4,/,1,292.793,2
2,5,1,Z,1,298.36,1
2,5,3,/,1,330.539,1
2,5,1,Z,1,301.349,1
2,5,4,/,1,364.192,2
2,6,1,Z,1,455.079,1
2,6,2,Z,1,352.329,2
2,6,2,Z,1,316.38,2
2,6,4,/,1,335.031,2
2,6,1,Z,1,483.125,1
2,6,1,Z,1,292.461,1
2,6,2,Z,1,310.387,2
2,6,1,Z,1,333.011,1
2,6,3,/,1,319.423,1
2,6,2,Z,1,368.676,2
2,6,3,/,1,319.622,1
2,6,3,/,1,254.531,1
2,6,3,/,1,340.258,1
2,6,2,Z,1,385.259,2
2,6,4,/,1,331.119,2
2,6,3,/,1,335.039,1
2,6,4,/,1,357.084,2
2,6,4,/,1,352.544,2
2,6,1,Z,1,541.373,1
2,6,1,Z,1,345.296,1
2,6,3,/,1,304.103,1
2,6,4,/,1,349.671,2
2,6,1,Z,1,329.213,1
2,6,1,Z,1,326.663,1
2,6,4,/,1,352.086,2
2,6,3,/,1,307.92,1
2,6,3,/,1,286.077,1
2,6,2,Z,1,345.334,2
2,6,3,/,1,299.649,1
2,6,1,Z,1,335.982,1
2,6,4,/,1,337.348,2
2,6,3,/,1,347.295,1
2,6,2,Z,1,362.507,2
2,6,4,/,1,307.707,2
2,6,1,Z,1,422.631,1
2,6,2,Z,1,346.025,2
2,6,2,Z,1,347.073,2
2,6,2,Z,1,335.671,2
2,6,4,/,1,325.028,2
2,7,1,Z,1,315.346,1
2,7,2,Z,1,347.267,2
2,7,2,Z,1,302.571,2
2,7,1,Z,1,302.507,1
2,7,1,Z,1,322.003,1
2,7,1,Z,1,365.578,1
2,7,1,Z,1,311.19,1
2,7,1,Z,1,246.066,1
2,7,2,Z,1,404.071,2
2,7,3,/,1,325.479,1
2,7,4,/,1,361.257,2
2,7,3,/,1,267.457,1
2,7,4,/,1,325.172,2
2,7,3,/,1,265.772,1
2,7,2,Z,1,362.207,2
2,7,3,/,1,333.114,1
2,7,3,/,1,302.157,1
2,7,2,Z,1,343.64,2
2,7,1,Z,1,315.551,1
2,7,4,/,1,282.501,2
2,7,4,/,1,394.59,2
2,7,3,/,1,275.403,1
2,7,1,Z,1,299.619,1
2,7,1,Z,1,287.444,1
2,7,4,/,1,296.42,2
2,7,1,Z,1,295.349,1
2,7,4,/,1,299.78,2
2,7,2,Z,1,345.718,2
2,7,3,/,1,374.515,1
2,7,4,/,1,355.684,2
2,7,2,Z,1,413.152,2
2,7,4,/,1,331.291,2
2,7,2,Z,1,516.376,2
2,7,3,/,1,423.952,1
2,7,4,/,1,347.332,2
2,7,3,/,1,265.54,1
2,7,4,/,1,301.82,2
2,7,2,Z,1,326.153,2
2,7,2,Z,1,616.016,2
2,7,3,/,1,520.091,1
2,8,1,Z,1,532.379,1
2,8,2,Z,1,328.885,2
2,8,2,Z,1,335.282,2
2,8,1,Z,1,307.138,1
2,8,3,/,1,263.798,1
2,8,3,/,1,259.507,1
2,8,2,Z,1,271.635,2
2,8,1,Z,1,284.568,1
2,8,4,/,1,321.147,2
2,8,3,/,1,283.545,1
2,8,1,Z,1,372.302,1
2,8,1,Z,1,317.754,1
2,8,4,/,1,406.044,2
2,8,3,/,1,306.407,1
2,8,2,Z,1,336.492,2
2,8,1,Z,1,279.092,1
2,8,1,Z,1,253.701,1
2,8,2,Z,1,257.581,2
2,8,3,/,1,429.135,1
2,8,2,Z,1,314.704,2
2,8,3,/,1,297.679,1
2,8,4,/,1,338.6,2
2,8,4,/,1,340.32,2
2,8,2,Z,1,302.55,2
2,8,4,/,1,321.067,2
2,8,4,/,1,357.451,2
2,8,1,Z,1,306.74,1
2,8,1,Z,1,350.025,1
2,8,3,/,1,276.043,1
2,8,2,Z,1,348.779,2
2,8,4,/,1,388.438,2
2,8,4,/,1,362.967,2
2,8,3,/,1,339.803,1
2,8,3,/,1,294.12,1
2,8,4,/,1,357.375,2
2,8,1,Z,1,335.288,1
2,8,3,/,1,344.164,1
2,8,2,Z,1,320.079,2
2,9,2,Z,1,416.692,2
2,9,4,/,1,380.828,2
2,9,4,/,1,310.758,2
2,9,4,/,1,329.1,2
2,9,2,Z,1,349.002,2
2,9,4,/,1,381.668,2
2,9,2,Z,1,396.833,2
2,9,1,Z,1,376.931,1
2,9,3,/,1,313.828,1
2,9,2,Z,1,365.726,2
2,9,2,Z,1,324.028,2
2,9,3,/,1,334.242,1
2,9,2,Z,1,401.654,2
2,9,4,/,1,379.802,2
2,9,4,/,1,308.252,2
2,9,3,/,1,294.706,1
2,9,3,/,1,343.074,1
2,9,1,Z,1,323.508,1
2,9,3,/,1,297.701,1
2,9,3,/,1,313.866,1
2,9,4,/,1,386.938,2
2,9,1,Z,1,336.311,1
2,9,1,Z,1,338.091,1
2,9,1,Z,1,321.931,1
2,9,4,/,1,342.195,2
2,9,2,Z,1,344.055,2
2,9,4,/,1,418.283,2
2,9,2,Z,1,342.985,2
2,9,2,Z,1,332.993,2
2,9,1,Z,1,279.827,1
2,9,3,/,1,447.901,1
2,9,3,/,1,324.571,1
2,9,1,Z,1,365.295,1
2,9,1,Z,1,311.903,1
2,9,1,Z,1,427.546,1
2,9,2,Z,1,390.023,2
2,9,3,/,1,307.961,1
2,9,4,/,1,369.637,2
2,9,3,/,1,307.743,1
2,10,4,/,1,344.65,2
2,10,3,/,1,258.195,1
2,10,1,Z,1,469.944,1
2,10,2,Z,1,319.322,2
2,10,3,/,1,313.959,1
2,10,2,Z,1,341.942,2
2,10,1,Z,1,332.65,1
2,10,3,/,1,261.632,1
2,10,4,/,1,384.734,2
2,10,1,Z,1,300.39,1
2,10,2,Z,1,292.546,2
2,10,3,/,1,306.113,1
2,10,3,/,1,265.222,1
2,10,4,/,1,364.052,2
2,10,1,Z,1,282.157,1
2,10,2,Z,1,315.039,2
2,10,2,Z,1,318.429,2
2,10,4,/,1,317.207,2
2,10,4,/,1,305.305,2
2,10,1,Z,1,344.231,1
2,10,3,/,1,296.467,1
2,10,4,/,1,320.524,2
2,10,3,/,1,300.373,1
